Condition	BioReplicate	Run	
CNT	Twin pair-50-A	yanliu_L130211_007_SW.mzML	
CNT	Twin pair-50-B	yanliu_L130211_018_SW.mzML	
CNT	Twin pair-50-B	yanliu_L130313_015_SW.mzML	
CNT	Twin pair-01-A	yanliu_L130220_011_SW.mzML	
CNT	Twin pair-01-A	yanliu_L130308_031_SW.mzML	
CNT	Twin pair-01-B	yanliu_L130220_012_SW.mzML	
CNT	Twin pair-01-B	yanliu_L130109_005_SW.mzML	
CNT	Twin pair-51-A	yanliu_L130211_014_SW.mzML	
CNT	Twin pair-51-A	yanliu_L130109_040_SW.mzML	
CNT	Twin pair-51-B	yanliu_L130313_025_SW.mzML	
CNT	Twin pair-51-B	yanliu_L130124_024_SW.mzML	
CNT	Twin pair-52-A	yanliu_L130116_019_SW.mzML	
CNT	Twin pair-52-A	yanliu_L130308_007_SW.mzML	
CNT	Twin pair-52-B	yanliu_L130104_007_SW.mzML	
CNT	Twin pair-52-B	yanliu_L130319_016_SW.mzML	
CNT	Twin pair-53-A	yanliu_L130319_006_SW.mzML	
CNT	Twin pair-53-A	yanliu_L130104_032_SW.mzML	
CNT	Twin pair-53-B	yanliu_L130319_009_SW.mzML	
CNT	Twin pair-53-B	yanliu_L130104_033_SW.mzML	
CNT	Twin pair-54-A	yanliu_L130116_010_SW.mzML	
CNT	Twin pair-54-A	yanliu_L130308_014_SW.mzML	
CNT	Twin pair-54-B	yanliu_L130116_042_SW.mzML	
CNT	Twin pair-54-B	yanliu_L130308_015_SW.mzML	
CNT	Twin pair-55-A	yanliu_L130124_026_SW.mzML	
CNT	Twin pair-55-A	yanliu_L130313_003_SW.mzML	
CNT	Twin pair-55-B	yanliu_L130124_027_SW.mzML	
CNT	Twin pair-55-B	yanliu_L130313_004_SW.mzML	
CNT	Twin pair-56-A	yanliu_L130211_006_SW.mzML	
CNT	Twin pair-56-A	yanliu_L130104_034_SW.mzML	
CNT	Twin pair-56-B	yanliu_L130313_013_SW.mzML	
CNT	Twin pair-56-B	yanliu_L130104_035_SW.mzML	
CNT	Twin pair-57-A	yanliu_L130109_004_SW.mzML	
CNT	Twin pair-57-A	yanliu_L130104_024_SW.mzML	
CNT	Twin pair-57-B	yanliu_L130124_022_SW.mzML	
CNT	Twin pair-57-B	yanliu_L130104_025_SW.mzML	
CNT	Twin pair-58-A	yanliu_L130109_017_SW.mzML	
CNT	Twin pair-58-A	yanliu_L130116_004_SW.mzML	
CNT	Twin pair-58-B	yanliu_L130211_005_SW.mzML	
CNT	Twin pair-58-B	yanliu_L130220_005_SW.mzML	
Pool	Pool	yanliu_L130323_003_SW.mzML	Six techincal replicates
Pool	Pool	yanliu_L130323_004_SW.mzML	Six techincal replicates
Pool	Pool	yanliu_L130323_005_SW.mzML	Six techincal replicates
Pool	Pool	yanliu_L130323_006_SW.mzML	Six techincal replicates
Pool	Pool	yanliu_L130323_007_SW.mzML	Six techincal replicates
Pool	Pool	yanliu_L130323_008_SW.mzML	Six techincal replicates
