Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
Q9NR19	NA	NA	NA	NA	NA	NA	1804.537	10577.49	NA	NA	NA	NA	NA	NA	NA	NA	92512.37	47343.67	NA	NA	NA	NA	NA	NA	80903.05	11589.47	NA	NA	NA	NA	NA	NA	NA	NA	94309.39	52786.49
Q0VAM2	61155.07	66704.82	41645.52	94309.39	51791.05	51547.19	1804.537	159751.2	87958.78	62246.1	57523.94	63988.55	47039.95	36339.93	59138.55	111326.8	34787.12	28846.59	61553.77	67555.47	46154.89	84689.84	50443.03	61553.77	2064.747	167923.7	85221.49	63816.85	62503.04	69379.76	48748.28	NA	61667.11	111001.3	38953.75	31034.26
P48637	111753.2	115138	93981.03	90840.22	74406	57737.64	1804.537	155885.6	88271.58	99433.59	148188.2	39273.51	93587.75	89349.21	115537.1	129359.2	396912	404349.8	106434	85740.42	99028.47	60140.21	77962.17	80741.56	2064.747	164811.4	104937	108189	156268.9	42472.02	113682.9	105177.9	123432	126743.6	421056.2	423963.5
P80404	196208.5	NA	136362.2	NA	286640.3	NA	1804.537	162300.5	192312.2	NA	227161.7	10305.74	196996.8	NA	171211.4	NA	103960.2	151044.7	189251.4	NA	141996.6	NA	306071.8	NA	319228.4	155137.9	173659.4	NA	228946.3	15575.29	187566.8	NA	171594.5	NA	67976.03	155550.8
Q9UHK6	70504.27	72977.35	93424.59	43815.97	48748.28	56609.46	1804.537	266898.1	78654.16	NA	85600.47	NA	74601.32	NA	74058.15	50179.16	258247.1	449960.5	90840.22	61553.77	94932.09	NA	18886.76	NA	2064.747	263299.1	74656.39	NA	94932.09	NA	78547.77	NA	65864.34	43429.14	264324.1	457756.2
P04083	87502.26	372485.6	83114.39	454591.6	61667.11	259314.6	354757.7	248839.1	104458.4	6919.769	54002.71	98460.75	61451.06	266898.1	73098.98	253890.9	277824.3	264324.1	92656.4	367784.7	83516.5	449960.5	61667.11	259314.6	312295.6	258247.1	105857.7	10305.74	87502.26	192915.6	95493.71	292456.1	72021.55	270810.9	273261.7	274264.6
P01876	312295.6	478947.4	408058.6	438752.3	153896.5	283710.6	534962.2	183399.7	716944.3	396912	138965.2	354757.7	345183.5	513437.9	462133.9	269679.7	86569.11	115138	297711.2	474797	623040.6	423963.5	149121.2	249685.3	789446.1	170638.1	421056.2	370040.5	143056.5	345183.5	329906.4	474797	423963.5	268122.8	78078.7	98642.34
P28070	37786.9	55954.92	43350.86	124294.3	38511.05	120491.1	76787.62	7593.128	31454.9	77594.36	NA	73278.36	42132.29	179981.9	36956.08	135737.2	46818.33	46763.48	35817.41	53240.82	133313.1	110778.1	NA	136064	70713.02	NA	39986.9	118793.4	NA	77070.33	37448.41	162300.5	43101.08	61777.63	NA	NA
P25398	NA	203233.9	126409.1	280540.3	NA	185160	1804.537	116010.1	138626.9	177210.9	NA	213886.3	NA	NA	NA	263299.1	79971.33	120716.2	122859.9	173659.4	125612.2	255122.1	NA	188132.1	2064.747	159352.7	145114.2	168411	NA	178745.3	150009.2	134561.7	109838.9	252846.2	80465.48	136875.9
Q8N766	NA	NA	NA	29111.44	NA	NA	1804.537	13873.04	NA	5299.794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37526.54	NA	NA	2064.747	NA	NA	7712.3	NA	NA	NA	NA	NA	NA	NA	NA
